"","id","lat","lon"
"1","IphKyLkGgBd/Tf7sqKywkkf6Fyo=",34.09066,-118.289354
"10","3/Z7SVuoEemK35lIIKpgWOygBNM=",34.090809,-118.287053
"11","xToelU2ZCAt0Ejj05yj++dQHYyU=",34.092806,-118.287853
"22","YFqBN0qUaGU7+uEG0wFs7W4gEow=",34.092208,-118.286668
"23","vxmiIVGoww7+YlbyeTZA+CEbuUw=",34.091565,-118.287747
"40","YwwH7IfO3VPDx+QM/C+eZqh++no=",34.091736,-118.286663
"41","gFmwXd6cqjGHJEK/C1KrmPUvYlA=",34.089779,-118.287786
"42","r8+xYX3eAXzyYY8nyL/4Q2zKjaM=",34.090811,-118.287914
"49","iEKQmn5crDDlXpZhMcVKCwi8+iY=",34.088805,-118.287974
"50","7zwqYoqR2fJ+r/HnYOzUzd4Qo00=",34.088779,-118.288417
"55","C7jqMuyFZU777IFwIfQ/MKn/LIg=",34.092564,-118.287758
"58","RNJWQJDgmZI2M5v/U0ypb82QgQc=",34.089781,-118.288365
"64","BPi2xjrTjVp/Ywfaw9vTx+ON+Fs=",34.088819,-118.289241
"65","CEAxz7/70c7qbmE5eEhXfLXhCbo=",34.090172,-118.289346
"76","X+qK5m1wCiDjw187iNscr17wTAU=",34.089777,-118.287212
"100","4w5qByA+6AI5oBEORbjQ7kaZcaw=",34.091318,-118.286721
"115","gFY3K8bU3pWc6gBj6N0C8Vj5DNU=",34.09081,-118.289214
"127","aGPOgG3Nt4qhhy95FBVDf2LQ9z8=",34.08978,-118.288936
"160","KhiCw+cIev5Mjhc6wgc7ATa+BIs=",34.088781,-118.288844
"244","r/rEpnbV1GMdHV/i7PCB4wPRh3c=",34.090955,-118.286876
"289","Te+haMWI01++CM7wNX4NLB+NRUY=",34.092064,-118.287751
